tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,29,4,0.0,0.09850375627355538
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,30,4,0.0,0.09850375627355538
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,31,5,0.009850375627355468,0.1962673439469745
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,0,0,0.0,0.0
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,1,1,0.0,0.1
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,2,1,0.0,0.1
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,3,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,4,1,0.0,0.1
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,5,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,6,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,7,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,8,1,0.0,0.1
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,9,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,10,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,11,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,12,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,13,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,14,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,15,4,0.05929999999999991,0.3945172366323175
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,16,1,0.0,0.1
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,17,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,18,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,19,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,20,2,0.010000000000000009,0.19924858845171275
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,21,3,0.02984962311319861,0.29750126050153136
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,22,3,0.02984962311319861,0.29750126050153136
